@JohnRenfro2016 Do you think it could be a 4th round of covid?,,en
"RT @faidha_kambwili: The time is now, we should act now. Africa community is ours let's fight COVID-19 and protect Africa

#shootyourshot #…",,en
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @fengyunshe: 广州多区放宽COVID规定
因受清零重创，周末广州人走上街头抗议，周三广州市海珠、白云、番禺、天河、从化、花都、荔湾等城区当局表示正在解除临时封锁，官员周二宣布，将允许COVID病例的密切接触者在家中隔离。https://t.co/WvpeYSf…",,zh
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
RT @dcohenagrest: Alarma ante rebrote de COVID? O intento de evitar un diciembre “caliente”?,,es
More vaccinated deaths than unvaccinated deaths from covid (US) https://t.co/tJbr23ZZrz via @YouTube,,en
"RT @Dany98833869: @MarujustotMaria En gran parte del mundo vendrá más pobreza ..recesión .............sublevaciones ...etc ..etc

Por eso l…",,es
"RT @wopizza2: These kids have been fighting for freedom and against tyrannical covid mandates at the University of Alberta since day 1. 

T…",,en
RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,,en
"RT @Teensthack: Taking a #Covid -19 vaccine not binding on anyone: Govt

Govt tells SC that vaccine beneficiaries have the option to access…",,en
RT @HHSGov: Get protection against the original COVID virus and Omicron — so you and your loved ones will be safer when you gather this hol…,,en
@RubinReport @dougmastriano None of the world’s supervillains die of COVID.,,en
"Tell me that #China gave up to the protester's demands without saying that China gave up.....

China is lifting the covid lockdowns!

A win for the protesters!!! https://t.co/ZZRag3WGT8",,en
"RT @SumitAhuja17: Itihaas Yaad Rakhega –
👉An Innocent Hindu Saint kept in jail for 10+ years.
👉No bail given even during Covid
👉All the evi…",,en
"Excerpt: ""...community masking can help prevent the spread of a range of respiratory infections."" #COVID19 #Flu #Mask #MaskUp

https://t.co/JFMrb6u2Ar",,en
Last set… Covid got me on my last breathe…,,en
RT @pituto99: Sigo insistiendo: ¿donde están los 60 palos verdes que le dieron a Sigman par que hiciera las vacunas COVID 19?🤷🏻‍♂️🤌🤌,,es
RT @mehdirhasan: So let me get this straight: the same folks who crazily believed the Covid vaccine was an attempt by Bill Gates to put mic…,,en
"@Wayduhhhh @YALiberty Let me ask you something? Why did the entire worlds leaders. Macron, Trudeau amongst others condemn the January 6 insurrection but didn’t condemn this? Covid zero policies have been going on for almost 2 years in China. Not a peep from those democracy lovers",,en
"RT @Dakota_150: ""Long Covid may be ‘the next public health disaster’ — with a $3.7 trillion economic impact rivaling the Great Recession""…",,en
@news18dotcom Who send the scientists? Wetin them dey dig? We never recover from COVID. God abeg oh,,en
"@MarkLevineNYC Was this the part where you killed old people in mass by forcing COVID patients back in to nursing homes so that you could bump up your body count? You’re depraved liars, Mark, and everyone knows it.",,en
"RT @Filippo60: Students protesting Xi Jinping harsh 0 covid  measures which have been destabilising, and created drastic problems in China’…",,en
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
"RT @GovStitt: Today, I joined 20 other Republican governors urging lawmakers in Washington to remove and prohibit Biden's COVID-19 vaccine…",,en
RT @observerug: #Uganda govt officials swindled Shs 168.8bn #Covid19 cash - audit. Ministry of #Health claimed to have paid the service pro…,,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"RT @nspector4: [Yep] ""Importing mRNA vaccines would be an acknowledgment that China’s vaccines are less effective...reversing course on COV…",,en
RT @_DramaKing_: Y’all too comfortable fucking in public for me. Getting plowed in dressings from leaking bodily fluids everywhere. This is…,,en
RT @BobFu4China: Unbelievable scene of #CCP cruelty in the name of COVID tyranny. This Chinese mother was about to give birth but the hospi…,,en
"RT @MicheleRivasi: En commission COVID, j'ai interrogé les experts : comment qualifient-ils le fait que la firme américaine du mari de la p…",,fr
"@timmacd64 Lol. Nice try. 

https://t.co/M6pEyrM1DH",,en
RT @KajunaD: It was great honor &amp; previledge to have to hear from the Africa CDC director @laktarr001 on the continent's ambition to achiev…,,en
"RT @KillAdolf: Nunca usé barbijo, tampoco me encerré y no tengo ninguna vacuna contra el covid. No sé que les hace creer que después pasarm…",,es
"@irishrygirl @GOPLeader ""The Covid vaccine mandate in the military is wrong.""

It's cool that you can spell so many big words, but they are nebulous and  aren't responding to his point. We can all agree hepatitis is bad tho 🤘",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @DrEliDavid: Canada's 🇨🇦 PM Justin Trudeau condemnded what's happening in China. Below is some horrible footage from police brutality in…,,en
@_tylerswife Tiene seguro covid porque no le inyectan la letal ?,,es
RT @elitearehere: #China: Stormtroopers are going to take this guy to the Covid gulag! https://t.co/3DiKqNylQT,,en
"RT @duty2warn: Covid misinformation is now OFFICIALLY acceptable on Twitter.
Not joking https://t.co/eOg339juK0",,en
RT @DonLew87: Yale study finds excess deaths during the Covid-19 pandemic were impacted by political affiliation and that the partisan gap…,,en
RT @jordanbpeterson: The Chinese can protest COVID authoritarianism but supporters of Canadian truckers need to have their bank accounts fr…,,en
RT @msalnacion: El Ministerio de Salud de la Nación informa que son falsos los mensajes que están viralizándose por Whatsapp sobre la “nuev…,,es
@YourKayBol Ehlile batho ba nkana kea bona. Only a drop in 2020 maybe as a result of the Covid-19 pandemic.,,en
RT @MarkLevineNYC: One of Musk’s most consequential twitter policy changes has been to allow dangerous public health messaging to spread li…,,en
RT @LauraPowellEsq: No one knows what constitutes “Covid misinformation” under AB2098. Interesting that this is the most compelling example…,,en
"RT @JP__75: “The unvaccinated are terrorising the vaccinated causing mental stress which is leading to blood clots, heart attacks and strok…",,en
this fever has kicked my ass for the last 3 days. pretty sure i have the flu. &amp; its worse than when i had covid 😭,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @canammissing: @StevePhillipsMD 20 months ago my son took his life in LA County. Being retired law enf I had a lengthy conversation with…,,en
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
RT @elitearehere: #China: Stormtroopers are going to take this guy to the Covid gulag! https://t.co/3DiKqNylQT,,en
"RT @Staunch_NaMo: Riots reported in city of Guangzhou, China against Xi's Covid Dicktat of forced Isolation.
Now give it a thought,  How @n…",,en
"@SteveInmanUIC Because he ""caught covid"" just in time to have to avoid the press?",,en
RT @msalnacion: El Ministerio de Salud de la Nación informa que son falsos los mensajes que están viralizándose por Whatsapp sobre la “nuev…,,es
"RT @IsThisReallyNe8: @1goodtern I heard a new one the other day:

“Yeah, she was really sick. She tested positive for COVID…but I mean, it…",,en
"#Covid_19 #COVID 
#Covid19
Datos... https://t.co/4dDnU4JJGF",,es
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
RT @JuezLopezMDP: Argentina: fallo judicial suspende inoculaciones contra el Covid en menores por falta de información sobre efectos advers…,,es
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
RT @victoriacake3x: Remember that 19yr HES BACK AFTER COVID AND JUST TURNED 21yrs old and he’s so lucky to pound this CAKE https://t.co/VoI…,,en
"RT @CNN: Video obtained by CNN shows violence in China at Foxconn, the world's largest iPhone factory. Workers are protesting unfair treatm…",,en
"RT @matthewdmarsden: Hey people that didn’t take the covid 19 vaccination. 

How are we even still alive?",,en
"RT @brixwe: Thomas Renz: We have incentivized the murder of patients rather than incentivize treatment...When you get admitted for COVID, t…",,en
RT @EmmaRincon: 🚨🇨🇳 | La policía sanitaria de Xi Jinping está literalmente violando por el ano a una mujer en plena calle con una prueba co…,,es
#China state media reported today communities in Beijing can quarantine #Covid19 infected people at home instead of government centers but no word from city. Now @globaltimesnews report no longer opens. https://t.co/Nd0sMJYILD (Adds to residents’ confusion over Covid controls.) https://t.co/DrDX1541GJ,,en
"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",,en
"@0NfXd1pZtmRmSDl @nob_ta7ka @jisohigai @sakosako3_5 医療関係者の方でしょうか。
日頃頑張っていただきありがとうございます。
現場のことは自身は経験してませんが、コロナ禍においてメンタルを崩してきた子どもも大人も少なからず見てきました。
長期的なリスクでいうと、long covidかワクチンの副作用どちらが怖いかはわかりません。",,ja
RT @JenfromMaryland: @DonLew87 Yale study and every thinking person on the planet find this to be true: you politicize Covid and believe yo…,,en
"@Qurandale @DailyLoud Just like why the Chinese were trying to make Covid more dangerous with gain of function research, they want to do the same with this virus. People think scientists are all altruistic and would never do harmful research are just ignorant af. Fauci funded it with tax dollars!",,en
RT @DougJBalloon: We wanted to understand what's going on with the COVID protests in China.  So we talked to three unvaccinated Ron DeSanti…,,en
RT @BNODesk: Today marks the 3rd anniversary of the first case of COVID-19 https://t.co/9Yl5aWdYvx,,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
"RT @MeetJess: Is It Long COVID, or Dementia, or Both?

People who got COVID-19 were twice as likely to receive a diagnosis of Alzheimer’s d…",,en
"RT @Imani_Barbarin: “Do you really have long Covid, or are you experiencing mental illness?” 

Because it’s really that simple in terms of…",,en
"RT @SukunaBikona7: COVID-19自宅療養/自宅待機にあたって役立ちそうなものをまとめておく。
1/6",,ja
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @LCI: Soignants non-vaccinés : le cabinet #McKinsey à l'origine des suspensions ? https://t.co/GsCWFeaiFI https://t.co/xqznhBQcOV,,fr
RT @jordanbpeterson: The Chinese can protest COVID authoritarianism but supporters of Canadian truckers need to have their bank accounts fr…,,en
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @QueerlyAutistic: ""I'm a bit sick, but don't worry, it's not covid, so I can still come!"" 

Yeah, okay, but I don't want to get whatever…",,en
RT @PeterHotez: Why Long Covid could be 'the next public health disaster'. My comments and interview with ⁦@GregIacurci⁩ ⁦@CNBC⁩  https://t…,,en
"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",,en
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"Bad news again guys, Vinchii might have COVID.  I don't feel any symptoms except for a little cold and flu, but to be sure, I'll do a test tomorrow. Don't be like Vinchii, never over-work!",,en
"RT @ProdigalThe3rd: Legendary Dr. Masanori Fukushima (resume attached) to Japanese Health Ministry:

COVID-19 jab harming immune systems &amp;…",,en
"RT @BambinoJalapeno: “Ontario wasted 38 per cent of COVID-19 vaccine doses between Feb &amp; June because it overestimated demand for boosters,…",,en
"RT @richardursomd: Covid, Cholesterol, Climate Change

Come listen

GSC LIVE‼️Drs. Urso, Cole &amp; Lindley Interview Aseem Malhotra - Covid Sp…",,en
RT @MICHAEL1photog: @DonLew87 Yep. The Republicans made Covid a political weapon that mostly hurt Republicans. But they don’t care about co…,,en
RT @joshjeje2: Auditor General report states that 168 bn covid money was stolen by gov't officials. Ministry of Health claims 5.8 bn was sp…,,en
RT @MODIfiedVikas: he speaks monologues well in front of a teleprompter only. Saw his in home coverages during Covid. Very incoherent. He i…,,en
"RT @Dante27455639: Yuval Harari, servidor del Foro Económico Mundial: Te lo dice abiertamente. ""Gracias al ""covid"", llevarás la vigilancia…",,es
RT @duty2warn: https://t.co/OjFOm2QXrr,,zxx
RT @shell895: Welp...my client's gf who was home all day with us today has Covid. So now the fucking waiting game begins. Will I get it or…,,en
RT @ErikLoridan: Ça se réveille chez les cardiologues australiens. Et chez nous ? https://t.co/ruf8I8Hil3 https://t.co/Y6INb30CBF,,fr
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @catturd2: Funny how most the people suspended on Twitter for ""misinformation"" about COVID, the vaccine, and masks -  have now been prov…",,en
"RT @QueerlyAutistic: ""I'm a bit sick, but don't worry, it's not covid, so I can still come!"" 

Yeah, okay, but I don't want to get whatever…",,en
"RT @sisu_sanity: What a coincidence.🤦‍♂️

Study Shows How Russian, Chinese Disinformation About COVID-19 Evolved During The Pandemic 
https…",,en
"RT @glennbeck: It's WAY past time for the Biden admin to answer these questions: 

What happened on Jan 6? 
Who is Ray Epps? 
Who planted t…",,en
"RT @Sheryl19202304: @jryerson1 @Martyupnorth_2 Trudeau is sick in the head. 
He is a virus 🦠 
He is a threat. 
Covid again for this dictato…",,en
"China is softening its tone on the severity of COVID-19 and easing some coronavirus restrictions even as its daily case toll hovers near records, after anger over the world's toughest curbs morphed into protests across the country. https://t.co/n1UuC6lQ7H",,en
"RT @Scott4MAGA: This is not representative of a ""Government of the people, by the people, for the people,"" in my opinion. We are losing our…",,en
"RT @MIKITO_777: いま、COVIDで亡くなる方の大部分は、森氏のように高齢で基礎疾患がある方が軽症から合併症を起こして衰弱して亡くなっていくから、今回の入院に関しては妥当な判断だと思う。

高齢、肥満気味、末期腎不全、おそらく糖尿病ともはや重症化リスクの塊だから、…",,ja
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @atensnut: Bill Clinton has Covid. 

Apparently he can catch everything except a guilty conscience.",,en
Kabarnos - Prayer of Healing (The Call to Unite Covid-19 Oprah Winfrey L... https://t.co/DPjgydqcKF via @YouTube,,en
"RT @TalkMullins: What is your Covid vaccine experience? 🚨💉

Please retweet so to help get a larger polling sample!",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @shell895: Ahaha five days off. Thanks Covid. What's a girl to do? If I was about 40 years younger I would have done it already... Ohhhh…,,en
"RT @WarTiger007: 🚨 英国《星期日邮报》

这家世界领先的医学杂志承认，Covid 大流行可能是由实验室泄漏引发的，并承认该病毒可能是由科学家设计的。

这对拥有 199 年历史的《柳叶刀》杂志来说，是一个了不起的转变，该杂志曾发表了一篇臭名昭著的文章，谴责有关…",,zh
"RT @CitizenFreePres: Ted Cruz accuses Biden of using the Covid Vaccine mandate to purge conservatives from the military:

“They’re doing th…",,en
"RT @DianaGlebova: NEW: 
House Republicans sent a letter to the NIH demanding that they not destroy any materials concerning the origins of…",,en
"RT @AshramGzb: Itihaas Yaad Rakhega –
👉An Innocent Hindu Saint kept in jail for 10+ years.
👉No bail given even during Covid
👉All the eviden…",,en
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
"RT @AshramGzb: Itihaas Yaad Rakhega –
👉An Innocent Hindu Saint kept in jail for 10+ years.
👉No bail given even during Covid
👉All the eviden…",,en
"RT @AFP: China signals possible relaxing of strict zero-tolerance Covid policy, after nationwide protests calling for an end to lockdowns a…",,en
"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",,en
"AL Notícia | Paraíba registra sete mortes e mais de milénio novos casos de Covid-19 nesta quarta-feira (30)
https://t.co/EZbsBKw6t1",,pt
"RT @KimIversenShow: Everyone around me, all vaccinated, has caught covid AGAIN. They’ve all been coughing, hacking up mucus and sneezing in…",,en
"@BrianLenzkes Covid policy was devoid of wisdom.
Think how children were harmed socially and intellectually by NEA.
Trump failed in protecting Americans from foolish science pimps.",,en
"RT @SenHawleyPress: Hawley Demands Apple Condemn CCP COVID Crackdown, Reduce Reliance on Foreign Labor 

https://t.co/lw2hbGmPnM",,en
"RT @NBSaphierMD: The CDC is the biggest contributor to the ⬇️ childhood vax (Measles, Polio) rates. Had they not jeopardized their credibil…",,en
"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",,en
"RT @EpochTimesChina: “These are the most significant protests since 1989, and they are, I think, a boiling over of not just frustration at…",,en
"RT @jeffsamsonow: Edmonton will suffer its 2000th Covid death this week. 2,000 people, and most died long after we knew what we had to do t…",,en
RT @mehdirhasan: So let me get this straight: the same folks who crazily believed the Covid vaccine was an attempt by Bill Gates to put mic…,,en
RT @kylegriffin1: Twitter will no longer stop users from spreading disinformation about the COVID-19 virus or vaccines.,,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"RT @IndigFutures: Jia Guo speaks on
Affective Dissonance and Affective Solidarity: Understanding ‘Sisterhood’ in Chinese Feminist Digital A…",,en
"RT @ScienceNews: Long COVID patients “know the right questions to ask to properly document their experience,” says @LisaAMcCorkell. This ca…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @_PH___PH_: An economist at Harvard University’s estimate of the cost of Long Covid to the US economy:

$3.7 trillion 

‘...that estimat…",,en
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
RT @arieella_: Happy birthday Covid?,,en
https://t.co/2wHWA98NEw,,zxx
RT @_whitneywebb: FYI - ex FDA commissioner Scott Gottlieb (who wrote this drivel) is on the board of a CIA linked company that is poised t…,,en
"RT @thevivafrei: Virologist Dr. A Oveta Fuller, who was “instrumental in the emergency authorization of the COVID-19 vaccine” dies after “b…",,en
Here’s something I was too afraid to say before now I’m p sure COVID gave me brain damage,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @fengyunshe: Chinese student risks his and his family's lives to speak out against CCP's Covid restrictions   CCP≠China≠Chinese   https:…,,en
"@NitoCortizo TREMENDA ESA FOTO PRESIDENTE CORTIZO, TODOS ALLÍ CON BOZAL Y SUPUESTAMENTE PROTEGIDOS POR LAS KAKUNAS PFIZER 
🤣🤣🤣🤣🤣🤣
SIGAN CON EL FRAUDE COVID
PRONTO LLEGA LA JUSTICIA",,es
RT @BChairss: A decade of Tory austerity prior to Covid #newsnight,,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
"@paolabrett @lornaexplorernz I'm meeting friends for a pre-Xmas lunch next weekend; we've all agreed outside is the way to go, and I'm happy with that.  Crowded restaurant on a Saturday with no ventilation, and no-one else interested in Covid precautions?  A bit less convinced!",,en
"RT @Gritty20202: @MeetJess Multi-millionaire with open, priority access to the best healthcare available tests positive for COVID.  I wonde…",,en
It’s called ✨ immunocompromised ✨ as a result of COVID https://t.co/QOzkysRm25,,en
"RT @MIKITO_777: いま、COVIDで亡くなる方の大部分は、森氏のように高齢で基礎疾患がある方が軽症から合併症を起こして衰弱して亡くなっていくから、今回の入院に関しては妥当な判断だと思う。

高齢、肥満気味、末期腎不全、おそらく糖尿病ともはや重症化リスクの塊だから、…",,ja
"Covid awareness crew - I love you all, but immediately suggesting that Covid could be the cause for any celebrity death where the cause is undisclosed doesn't really add much value to the ongoing discourse. Because we all know, the anti-vax, covid denialists, are doing the same.",,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
"RT @unoqualcunque: @debiedwarditv Covid zero itself is a total contradiction, so after the 3 months of the pandemic, the following was just…",,en
RT @Mssarahmssarah: I still see zero media mentions of the fact that three children have died of covid in NYC in the last week and a half.…,,en
RT @N76247476Man: Why is Bill Clinton telling anyone he has Covid-19? The guy is a rapist and a child molester. I do not give a fuck about…,,en
"RT @chantz_y: A fungal infection, Candida auris, that typically spreads in the immunocompromised is spreading in Vegas. So far 63 have died…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @RpsAgainstTrump: @GOPLeader What about the other vaccines? Why are you singling out only the Covid vaccine?,,en
"RT @MarthaChavezC: El colmo, @RimacSeguros necesito de mi tuit de ayer, reclamando resultado de la prueba Covid, para comunicarse conmigo y…",,es
https://t.co/REiKtXzIso,,zxx
"RT @602Larry: @LauraLitvan Trump doubled the deficit BEFORE covid, and then exploded it. The deficit shrunk this year by a record $1.5 TRIL…",,en
"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",,en
"@loekalization @manyapan The central government mandates a covid zero policy and local governments have to enforce it in anyway they see fit. If there was no covid zero policy they’d be no crazy, haphazard covid zero policy implementation . The way I see it central govt is shifting blame to local govt.",,en
"@DrSdeG I was sick, on different levels and extremes, from beginning of Oct to mid- November. Tested for Covid 3 times. Negative. But man, it was bad. I thought it was going to turn into pneumonia at one point. No one could explain it🤷‍♀️",,en
@ivdsai Vaccine super fast ga kanipettadam impassible. Covid ki kanipettaru ga .... accuracy asalu ledu. Covid valla young generation ni chalane  pogottukunnam ika chalu.,,et
"RT @SukunaBikona7: COVID-19自宅療養/自宅待機にあたって役立ちそうなものをまとめておく。
1/6",,ja
"RT @Incontricivili: L'intervista di @RaffaellaRegoli ad un ragazzo ridotto a stare in sedia a rotelle dal vaccino Covid, che racconta come…",,it
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @brixwe: Thomas Renz: We have incentivized the murder of patients rather than incentivize treatment...When you get admitted for COVID, t…",,en
"RT @dbenner83: Chinese protesters of the COVID regime aren't anti-science fascists, and they'll never be called that by the corporate press…",,en
he speaks monologues well in front of a teleprompter only. Saw his in home coverages during Covid. Very incoherent. He is more of a hype and got his name only due to consistency in Anti-BJP bias. I'm sure we will observe it in his YT channel soon. https://t.co/r8WqPRJjDr,,en
"Fresh surge in COVID admissions, up 19.5% in week - FIASO - English - https://t.co/WCL08SJ0zu https://t.co/xeKB9upRvD",,en
"@DMFernandez9 @johnrich It got worse 

https://t.co/qYpOY1E7jM",,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @PeterSweden7: 1. First they said the mRNA vaccine would stop you from getting covid at all.

2. Then they said it doesn't stop infectio…",,en
RT @RobertKennedyJr: During 7 hours of questioning under oath asking if he colluded with social media companies to censor COVID-related con…,,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @CBSNews: DoorDash is eliminating about 1,250 corporate jobs, or about 6% of its workforce, saying it hired too many people when deliver…",,en
RT @senadorhumberto: ABSURDO!  O descaso e a incompetência do governo bolsonaro ameaça a saúde de crianças. A vacinação contra covid para m…,,pt
"RT @TuckerToday: Cardiologist @DrAseemMalhotra suffered a recent, personal tragedy &amp; joins us to share his thoughts on possible harmful eff…",,en
"RT @QueerlyAutistic: ""I'm a bit sick, but don't worry, it's not covid, so I can still come!"" 

Yeah, okay, but I don't want to get whatever…",,en
RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,,en
"RT @kylenabecker: The Washington Post Reports 'Bombshell': Over Half of Covid Deaths are 'Fully Vaccinated'
https://t.co/4Vo1mwPdgB",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
RT @JuezLopezMDP: Juez federal marplatense ordena suspender la campaña de vacunación contra el Covid-19 en menores | 0223 https://t.co/dKb9…,,es
"RT @GreeceLck: Among RSV-infected children in 2022, 19.2% had prior documented COVID-19 infection, significantly higher than the 9.7% among…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"RT @AshAgony: ""Seventeen New York City municipal workers – including seven from the NYPD and one MTA staffer – were busted in separate COVI…",,en
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
RT @valeriegale88: @iloveoldcanada Looks like some weird COVID cult S&amp;M gear.,,en
"Children’S Wallpaper Market Share, Size &amp; COVID-19 Impact Analysis, By Type, Market Revenue, By Application, and Regional Forecast, 2022-2030 https://t.co/sxlL2d3YfL",,en
RT @AudaciousQuest_: Too many Gujaratis are saying that BJP is losing Gujarat.  Last time Gujarat gave 77 seats to Congress. Gujarat doesn'…,,en
RT @mehdirhasan: So let me get this straight: the same folks who crazily believed the Covid vaccine was an attempt by Bill Gates to put mic…,,en
"RT @OzraeliAvi: #BREAKING: Police in China fire on unarmed civilians protesting harsh Covid lockdowns.

Oh wait, that’s Melbourne.

Carry o…",,en
RT @kiangoh: It would be a productive change if commentaries on the city would look more to urban studies - and those who actually study th…,,en
"RT @johnrackham82: Christians aren't hard to deal with, they are just hard to fool. 

This is why Christians know COVID, climate change and…",,en
RT @HausofHilton: Why some people cough for quite some time after covid/viral infections https://t.co/UjdsUTLmTj,,en
RT @MarshaBlackburn: Do not be fooled — Democrats are using COVID as an excuse to obtain total control and push their radical socialist age…,,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @kylenabecker: Now, that Twitter ended 'Covid misinformation' policies, let's review the Experts™ misinformation:

1. 15 days to slow th…",,en
"RT @brixwe: Thomas Renz: We have incentivized the murder of patients rather than incentivize treatment...When you get admitted for COVID, t…",,en
RT @leadahorse2: The nutjobs are still arguing about Covid. Lol don’t they know it’s endemic now?,,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"Strong long-term demand for Aero Detail Parts as global supply chains have been crippled, post-covid. We are very excited to be part of the solution.

These will be produced at Dynamatic Manufacturing (100% owned by @DynamaticTech) in Peenya, and exported to Europe and N.America. https://t.co/XqooY3qa7M",,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"RT @nikonikohigumam: フェイスブックが大変なことになっている

FacebookのCovidワクチンFat-Checkersが、ワクチン会社から資金提供を受けていることが判明した

https://t.co/LxSCMOmexY https://t.co/Z…",,ja
"RT @SukunaBikona7: COVID-19自宅療養/自宅待機にあたって役立ちそうなものをまとめておく。
1/6",,ja
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
